Name;Screen Size;Camera;RAM;Battery;Price
Apple iPhone 5s 64GB;4 inch Screen;8MP Camera;1GB RAM;1560mAh ;Rs. 22,990
LYF Water 10;5 inch Screen;13MP Camera;3GB RAM;2300mAh ;Rs. 6,389 
Samsung Galaxy A7;5.5 inch Screen;13MP Camera;2GB RAM;2600mAh ;Rs. 13,599
Samsung Galaxy J Max;7 inch Screen;8MP Camera;1.5GB RAM;4000mAh ;Rs. 11,649
Lenovo Phab 2 Plus;6.4 inch Screen;13MP Camera;3GB RAM;4050mAh ;Rs. 13,999
Micromax Bolt Warrior 2 Q4202;5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 6,499 
Micromax Dual 5;5.5 inch Screen;13MP Camera;4GB RAM;3200mAh ;Rs. 23,999
Micromax Canvas Play 4G Q469;5.5 inch Screen;13MP Camera;2GB RAM;2820mAh ;Rs. 7,739 
Asus ZenFone 3 Max (ZC553KL);5.5 inch Screen;16MP Camera;3GB RAM;4100mAh ;Rs. 10,330
LeEco Le 2;5.5 inch Screen;16MP Camera;3GB RAM;3000mAh ;Rs. 10,990
Micromax Canvas Blaze 4G Q400;4.5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 4,880 
LG G6;5.7 inch Screen;13MP Camera;4GB RAM;3300mAh ;Rs. 32,799
Motorola Moto G5;5 inch Screen;13MP Camera;3GB RAM;2800mAh ;Rs. 10,430
LG G5;5.3 inch Screen;16MP Camera;4GB RAM;2800mAh ;Rs. 24,380
LYF F1;5.5 inch Screen;16MP Camera;3GB RAM;3200mAh ;Rs. 8,740 
Xiaomi Redmi Note 3;5.5 inch Screen;16MP Camera;3GB RAM;4050mAh ;Rs. 11,999
Motorola Moto G4;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 9,999 
Lava A97 2GB RAM;5 inch Screen;5MP Camera;2GB RAM;2350mAh ;Rs. 5,299 
Vivo V5 Lite;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 15,980
Motorola Moto X Play;5.5 inch Screen;21MP Camera;2GB RAM;3630mAh ;Rs. 14,990
Coolpad Max A-8;5.5 inch Screen;13MP Camera;4GB RAM;2800mAh ;Rs. 10,790
Apple iPhone 7 128GB;4.7 inch Screen;12MP Camera;2GB RAM;1960mAh ;Rs. 49,999
Apple iPhone 7 Plus 256GB;5.5 inch Screen;12MP Camera;3GB RAM;2900mAh ;Rs. 58,190
iVOOMi Me3;5.2 inch Screen;8MP Camera;2GB RAM;3000mAh ;Rs. 4,999 
Asus ZenFone 2 Laser 2GB/16GB;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 9,999 
Sony Xperia Z3+;5.2 inch Screen;20.7MP Camera;3GB RAM;2930mAh ;Rs. 19,190
Motorola Moto X Play 32GB;5.5 inch Screen;21MP Camera;2GB RAM;3630mAh ;Rs. 18,999
Gionee F103 Pro;5 inch Screen;13MP Camera;3GB RAM;2400mAh ;Rs. 8,690 
Gionee S6s;5.5 inch Screen;13MP Camera;3GB RAM;3150mAh ;Rs. 12,065
Vivo Y31L;4.7 inch Screen;8MP Camera;1GB RAM;2200mAh ;Rs. 8,499 
Karbonn Aura Note 4G;5.5 inch Screen;8MP Camera;2GB RAM;2800mAh ;Rs. 5,180 
Tenor G (4GB/64GB);5.5 inch Screen;13MP Camera;4GB RAM;4000mAh ;Rs. 12,999
Xiaomi Redmi Note 4 (2GB/32GB);5.5 inch Screen;13MP Camera;2GB RAM;4100mAh ;Rs. 8,999 
Sony Xperia XA1 Plus (4GB);5.5 inch Screen;23MP Camera;4GB RAM;3430mAh ;Rs. 23,999
Alcatel A7;5.5 inch Screen;16MP Camera;3GB RAM;4000mAh ;- 
Honor Holly 3;5.5 inch Screen;13MP Camera;2GB RAM;3100mAh ;Rs. 7,999 
Huawei Mate 9 Porsche Design;5.5 inch Screen;20MP Camera;6GB RAM;4000mAh ;Rs. 1,10,9
OnePlus 3;5.5 inch Screen;16MP Camera;6GB RAM;3000mAh ;Rs. 21,990
Samsung Galaxy C5 Pro;5.2 inch Screen;16MP Camera;4GB RAM;2600mAh ;Rs. 18,750
HTC Desire 828 32GB;5.5 inch Screen;13MP Camera;3GB RAM;2800mAh ;Rs. 10,999
Motorola Moto G 2nd Gen 4G;5 inch Screen;8MP Camera;1GB RAM;2390mAh ;Rs. 6,999 
Nubia N2;5.5 inch Screen;13MP Camera;4GB RAM;5000mAh ;Rs. 12,999
OnePlus One;5.5 inch Screen;13MP Camera;3GB RAM;3100mAh ;Rs. 18,287
Asus ZenFone 3S Max (ZC521TL);5.2 inch Screen;13MP Camera;3GB RAM;5000mAh ;Rs. 8,999 
Vivo X6;5.2 inch Screen;13MP Camera;4GB RAM;2400mAh ;Rs. 27,999
LG X Cam;5.2 inch Screen;13MP Camera;2GB RAM;2520mAh ;Rs. 10,990
Intex Cloud Style 4G;12.7 inch Screen;8MP Camera;1GB RAM;2500mAh ;Rs. 4,749 
Acer Liquid Z530;5 inch Screen;8MP Camera;2GB RAM;2420mAh ;Rs. 5,800 
HTC Desire 728 Dual SIM;5.5 inch Screen;13MP Camera;2GB RAM;2800mAh ;Rs. 9,519 
Lava X81;5 inch Screen;13MP Camera;3GB RAM;2700mAh ;Rs. 7,990 
Samsung Galaxy S7 Edge (64GB);5.5 inch Screen;12MP Camera;4GB RAM;3600mAh ;Rs. 44,169
Intex Aqua Crystal Plus;5 inch Screen;13MP Camera;2GB RAM;2100mAh ;Rs. 4,999 
Motorola Moto E4;5 inch Screen;8MP Camera;2GB RAM;2800mAh ;Rs. 7,499 
InFocus Snap 4;5.2 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 11,999
Micromax Canvas 2 (2017);5 inch Screen;13MP Camera;3GB RAM;3050mAh ;Rs. 7,480 
Sony Xperia L1;5.5 inch Screen;13MP Camera;2GB RAM;2620mAh ;Rs. 9,999 
Sony Xperia XA1 Ultra;6 inch Screen;23MP Camera;4GB RAM;2700mAh ;Rs. 24,990
Oppo Find 7;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 20,500
Huawei Honor 6S;5.5 inch Screen;13MP Camera;3GB RAM;3300mAh ;Rs. 8,500 
Micromax Canvas 5 Lite;5 inch Screen;8MP Camera;2GB RAM;2000mAh ;Rs. 4,840 
Asus ZenFone 4 Selfie (ZB553KL);5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 9,999 
Intex Aqua A4;4 inch Screen;5MP Camera;1GB RAM;1750mAh ;Rs. 2,999 
Sony Xperia XA Dual;5 inch Screen;13MP Camera;2GB RAM;2300mAh ;Rs. 11,890
Samsung Galaxy S6 Edge 64GB;5.1 inch Screen;16MP Camera;3GB RAM;2600mAh ;Rs. 37,200
Lava A76 Plus;4.5 inch Screen;5MP Camera;1GB RAM;1850mAh ;Rs. 3,990 
Apple iPhone 6 Plus 128GB;5.5 inch Screen;8MP Camera;1GB RAM;2915mAh ;Rs. 42,990
Panasonic Eluga A2;5 inch Screen;8MP Camera;3GB RAM;4000mAh ;Rs. 7,533 
Karbonn Aura Note 2;5.5 inch Screen;13MP Camera;2GB RAM;2900mAh ;Rs. 5,190 
Lava Z25;5.5 inch Screen;13MP Camera;4GB RAM;3020mAh ;Rs. 14,891
Asus Zenfone Selfie;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 9,999 
Itel it1518;5 inch Screen;8MP Camera;2GB RAM;2500mAh ;Rs. 7,550 
Motorola Moto X Force 64GB;5.4 inch Screen;21MP Camera;3GB RAM;3760mAh ;Rs. 24,988
Oppo A39;5.2 inch Screen;13MP Camera;3GB RAM;2900mAh ;Rs. 12,999
Asus Zenfone Max 2016 3GB;5.5 inch Screen;13MP Camera;3GB RAM;5000mAh ;Rs. 11,999
Apple iPhone 6s Plus 64GB;5.5 inch Screen;12MP Camera;2GB RAM;2750mAh ;Rs. 61,759
Panasonic Eluga Ray X;5.5 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 6,999 
Samsung Galaxy Note 7;5.7 inch Screen;12MP Camera;4GB RAM;3500mAh ;Rs. 69,190
Apple iPhone SE (64GB);4 inch Screen;12MP Camera;2GB RAM;1642mAh ;Rs. 27,685
Nubia N1 lite;5.5 inch Screen;8MP Camera;2GB RAM;3000mAh ;Rs. 5,999 
Meizu M5;5.2 inch Screen;13MP Camera;2GB RAM;3070mAh ;Rs. 7,690 
Samsung Galaxy Note 4;5.7 inch Screen;16MP Camera;3GB RAM;3220mAh ;Rs. 39,870
Vivo X5Max;5.5 inch Screen;13MP Camera;2GB RAM;2000mAh ;Rs. 16,499
Motorola Moto Z;5.5 inch Screen;13MP Camera;4GB RAM;2600mAh ;Rs. 24,990
Intex Aqua 5.5 VR+;5.5 inch Screen;8MP Camera;2GB RAM;2800mAh ;Rs. 5,499 
LG X Power;5.3 inch Screen;13MP Camera;2GB RAM;4100mAh ;Rs. 10,799
Lenovo K8;5.2 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 9,799 
Oppo N1 Mini;5 inch Screen;13MP Camera;2GB RAM;2140mAh ;Rs. 15,990
Asus Zenfone Max (ZC550KL);5.5 inch Screen;13MP Camera;2GB RAM;5000mAh ;Rs. 7,559 
Gionee Marathon M5 Lite (GSM+CDMA);5 inch Screen;8MP Camera;3GB RAM;4000mAh ;Rs. 15,209
Apple iPhone 8 Plus;5.5 inch Screen;12MP Camera;3GB RAM;2700mAh ;Rs. 67,999
HTC One X9;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 14,779
Apple iPhone 6 128GB;4.7 inch Screen;8MP Camera;1GB RAM;1810mAh ;Rs. 44,990
Tecno i5 Pro;5.5 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 11,999
Vivo X6 Plus;5.7 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 26,899
Gionee A1 Lite;5.3 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 13,989
Gionee Marathon M5 Plus;6 inch Screen;13MP Camera;3GB RAM;5020mAh ;Rs. 20,599
Lenovo Vibe K5 Plus;5 inch Screen;13MP Camera;2GB RAM;2750mAh ;Rs. 8,999 
Xolo Era 1X;5 inch Screen;8MP Camera;1GB RAM;2500mAh ;Rs. 3,999 
Honor Bee 2;4.5 inch Screen;5MP Camera;1GB RAM;2100mAh ;Rs. 5,549 
LeEco Le 2 64GB;5.5 inch Screen;16MP Camera;3GB RAM;3000mAh ;Rs. 13,249
Apple iPhone 6 64GB;4.7 inch Screen;8MP Camera;1GB RAM;1810mAh ;Rs. 42,990
Panasonic Eluga Ray 500;5 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 8,999 
Microsoft Lumia 950 XL;5.7 inch Screen;20MP Camera;3GB RAM;3340mAh ;Rs. 29,999
Yu Yunique 2;5 inch Screen;13MP Camera;2GB RAM;2500mAh ;Rs. 5,499 
Honor 4X;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 7,499 
Lava V5;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 9,999 
LG Stylus 2 Plus;5.7 inch Screen;16MP Camera;3GB RAM;3000mAh ;Rs. 16,899
HTC Desire 626 LTE;5 inch Screen;13MP Camera;2GB RAM;2000mAh ;Rs. 9,590 
Lenovo Vibe K4 Note;5.5 inch Screen;13MP Camera;3GB RAM;3300mAh ;Rs. 11,590
Oppo Find 7a;5.5 inch Screen;13MP Camera;2GB RAM;2800mAh ;Rs. 10,000
Lava Pixel V2 3GB RAM;5 inch Screen;13MP Camera;3GB RAM;2500mAh ;Rs. 8,999 
Lenovo Vibe Shot;5 inch Screen;16MP Camera;3GB RAM;2900mAh ;Rs. 9,900 
Micromax Canvas Mega 2 Plus;6 inch Screen;8MP Camera;2GB RAM;3000mAh ;Rs. 6,849 
Panasonic Eluga Ray Max;5.2 inch Screen;16MP Camera;4GB RAM;3000mAh ;Rs. 10,499
Asus Zenfone 3 (ZE520KL);5.2 inch Screen;16MP Camera;3GB RAM;2600mAh ;Rs. 10,999
Samsung Galaxy S7 Edge (128GB);5.5 inch Screen;12MP Camera;4GB RAM;3600mAh ;Rs. 49,900
Asus Zenfone Selfie 3GB/32GB;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 14,990
BlackBerry Optiemus;5.5 inch Screen;21MP Camera;4GB RAM;3000mAh ;Rs. 39,200
Gionee Marathon M5 Lite;5 inch Screen;8MP Camera;3GB RAM;4000mAh ;Rs. 9,670 
Sony Xperia XA Ultra;6 inch Screen;21.5MP Camera;3GB RAM;2700mAh ;Rs. 20,480
Itel SelfiePro it1511;5 inch Screen;8MP Camera;1GB RAM;2500mAh ;Rs. 5,999 
Nubia N1;5.5 inch Screen;13MP Camera;3GB RAM;5000mAh ;Rs. 15,157
Samsung Z4;4.5 inch Screen;5MP Camera;1GB RAM;1050mAh ;Rs. 5,790 
iVOOMi Me5;5 inch Screen;8MP Camera;2GB RAM;3000mAh ;Rs. 4,499 
HTC One ME;5.2 inch Screen;20MP Camera;3GB RAM;2840mAh ;Rs. 22,319
Xiaomi Mi Max Prime;6.44 inch Screen;16MP Camera;4GB RAM;4850mAh ;Rs. 19,999
Asus ZenFone 3 Max ZC520TL;5.2 inch Screen;13MP Camera;3GB RAM;4100mAh ;Rs. 9,780 
Coolpad Dazen X7;5.2 inch Screen;13MP Camera;2GB RAM;2700mAh ;Rs. 7,999 
HTC One (M8 Eye);5 inch Screen;13MP Camera;2GB RAM;2600mAh ;Rs. 14,499
Apple iPhone 6s 128GB;4.7 inch Screen;12MP Camera;2GB RAM;1715mAh ;Rs. 42,590
Honor 9i;5.9 inch Screen;13MP Camera;4GB RAM;3340mAh ;Rs. 17,999
Samsung Galaxy J3;5 inch Screen;8MP Camera;1.5GB RAM;2600mAh ;Rs. 7,990 
Nubia M2 Play;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 8,999 
Panasonic P77 (16GB);5 inch Screen;8MP Camera;1GB RAM;2000mAh ;Rs. 4,499 
Huawei Note 8;6.6 inch Screen;13MP Camera;4GB RAM;4500mAh ;Rs. 21,799
Jivi Grand 3000;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 6,730 
Nubia Z11;5.5 inch Screen;16MP Camera;6GB RAM;3000mAh ;Rs. 33,999
Samsung Galaxy J1 4G;4.3 inch Screen;5MP Camera;768MB RAM;1850mAh ;Rs. 6,290 
Lenovo A6000;5 inch Screen;8MP Camera;1GB RAM;2300mAh ;Rs. 6,800 
LYF C451;4.5 inch Screen;5MP Camera;1GB RAM;2800mAh ;Rs. 4,699 
Micromax Spark Vdeo;4.5 inch Screen;5MP Camera;1GB RAM;1800mAh ;Rs. 3,899 
Asus Zenfone Selfie 2016 (3GB/16GB);5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 7,999 
LYF Water 7S;5.5 inch Screen;13MP Camera;3GB RAM;2800mAh ;Rs. 7,290 
Tecno i7;5.5 inch Screen;13MP Camera;4GB RAM;4000mAh ;Rs. 14,990
Samsung Galaxy J7 Plus;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 21,990
Sony Xperia M5 Dual;5 inch Screen;21.5MP Camera;3GB RAM;2600mAh ;Rs. 27,590
Micromax Evok Dual Note;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 9,499 
Yu Yunicorn;5.5 inch Screen;13MP Camera;4GB RAM;4000mAh ;Rs. 8,900 
Micromax Vdeo 1;4 inch Screen;5MP Camera;1GB RAM;1600mAh ;Rs. 3,575 
Panasonic P88;5.3 inch Screen;13MP Camera;2GB RAM;2600mAh ;Rs. 7,000 
HTC U11;5.5 inch Screen;12MP Camera;6GB RAM;3000mAh ;Rs. 53,990
Apple iPhone 6s Plus 128GB;5.5 inch Screen;12MP Camera;2GB RAM;2750mAh ;Rs. 49,999
BlackBerry Z10;4.2 inch Screen;8MP Camera;2GB RAM;1800mAh ;Rs. 5,531 
Motorola Moto G4 Plus 16GB;5.5 inch Screen;16MP Camera;2GB RAM;3000mAh ;Rs. 11,249
Vivo X5Pro;5.2 inch Screen;13MP Camera;2GB RAM;2450mAh ;Rs. 22,999
Sansui Horizon 1;4.5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 2,999 
LeEco Le 1S;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 9,599 
Xiaomi Redmi Pro;5.5 inch Screen;13MP Camera;3GB RAM;4050mAh ;Rs. 14,799
Lava X50;5.5 inch Screen;8MP Camera;2GB RAM;2800mAh ;Rs. 6,199 
iVOOMi ME1 Plus;5 inch Screen;8MP Camera;2GB RAM;3000mAh ;Rs. 4,900 
Panasonic Eluga A3;5.2 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 8,950 
Apple iPhone 8 Plus 256GB;5.5 inch Screen;12MP Camera;3GB RAM;2700mAh ;Rs. 83,999
LYF C459;4.5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 4,199 
Coolpad Note 3;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 8,850 
Motorola Moto X Style;5.7 inch Screen;21MP Camera;3GB RAM;3000mAh ;Rs. 26,999
Nubia M2;5.5 inch Screen;13MP Camera;4GB RAM;3630mAh ;Rs. 17,999
Huawei Honor 6;5 inch Screen;13MP Camera;3GB RAM;3100mAh ;Rs. 12,500
Micromax Canvas Pulse 4G;5 inch Screen;13MP Camera;3GB RAM;2100mAh ;Rs. 6,295 
LG Stylus 3;5.7 inch Screen;13MP Camera;3GB RAM;3200mAh ;Rs. 14,990
Samsung Galaxy Note 5;5.7 inch Screen;16MP Camera;4GB RAM;3000mAh ;Rs. 39,900
Lava A77;4.5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 4,780 
Lenovo Vibe B;4.5 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 4,999 
Motorola Moto G5S Plus;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 14,999
InFocus Turbo 5 Plus;5.5 inch Screen;13MP Camera;3GB RAM;4850mAh ;Rs. 7,999 
Gionee F103 3GB RAM;5 inch Screen;8MP Camera;3GB RAM;2400mAh ;Rs. 9,299 
Vivo X9 Plus (128GB);5.8 inch Screen;16MP Camera;6GB RAM;4000mAh ;Rs. 34,999
Xiaomi Mi 5S Plus (6GB/128GB);5.7 inch Screen;13MP Camera;6GB RAM;3800mAh ;Rs. 25,999
Nubia Z17 mini;5.2 inch Screen;13MP Camera;4GB RAM;2950mAh ;Rs. 15,999
Asus ZenFone AR (ZS571KL);5.7 inch Screen;23MP Camera;8GB RAM;3300mAh ;Rs. 49,999
Lenovo Phab 2;6.4 inch Screen;13MP Camera;3GB RAM;4050mAh ;Rs. 10,999
Gionee A1 Plus;6 inch Screen;13MP Camera;4GB RAM;4500mAh ;Rs. 24,999
Motorola Moto E (2nd Gen) 4G;4.5 inch Screen;5MP Camera;1GB RAM;2390mAh ;Rs. 6,999 
Gionee P7;5 inch Screen;8MP Camera;2GB RAM;2300mAh ;Rs. 8,099 
Intex Aqua Music;5.5 inch Screen;13MP Camera;2GB RAM;3400mAh ;Rs. 7,399 
LG K10;5.3 inch Screen;13MP Camera;2GB RAM;2300mAh ;Rs. 9,499 
Asus Zenfone Go 5.5 (ZB552KL);5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 7,499 
Reliance JioPhone;2.4 inch Screen;0.8MP Camera;512MB RAM;2000mAh ;Rs. 1,500 
LeEco Le 2 Pro 64GB;5.5 inch Screen;21MP Camera;4GB RAM;3000mAh ;Rs. 17,300
Samsung Galaxy S6 Edge;5.1 inch Screen;16MP Camera;3GB RAM;2600mAh ;Rs. 34,900
Lenovo Vibe P1m;5 inch Screen;8MP Camera;2GB RAM;3900mAh ;Rs. 17,000
Lava A97;5 inch Screen;5MP Camera;1GB RAM;2350mAh ;Rs. 5,200 
Xiaomi Redmi 4X;5 inch Screen;13MP Camera;2GB RAM;4100mAh ;Rs. 12,150
Huawei Nexus 6P;5.7 inch Screen;12.3MP Camera;3GB RAM;3450mAh ;Rs. 35,000
LYF Water 11;5 inch Screen;13MP Camera;3GB RAM;2100mAh ;Rs. 6,546 
Intex Aqua Ace 4G;5 inch Screen;13MP Camera;3GB RAM;2300mAh ;Rs. 8,599 
HTC Desire 628;5 inch Screen;13MP Camera;3GB RAM;2200mAh ;Rs. 10,490
Apple iPhone SE (128GB);4 inch Screen;12MP Camera;2GB RAM;1642mAh ;Rs. 28,490
LG K10 (2017);5.3 inch Screen;13MP Camera;2GB RAM;2800mAh ;Rs. 9,849 
Sony Xperia X Dual;5 inch Screen;23MP Camera;3GB RAM;2620mAh ;Rs. 24,499
Swipe Elite Star;4 inch Screen;5MP Camera;1GB RAM;2000mAh ;Rs. 2,999 
Oppo A59;5.5 inch Screen;13MP Camera;3GB RAM;3075mAh ;Rs. 17,999
Panasonic Eluga A3 Pro;5.2 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 11,499
Motorola Moto Z2 Play;5.5 inch Screen;12MP Camera;4GB RAM;3000mAh ;Rs. 23,990
Nokia 9;5.5 inch Screen;12MP Camera;4GB RAM;3800mAh ;Rs. 44,999
LYF Earth 1;5.5 inch Screen;13MP Camera;3GB RAM;3500mAh ;Rs. 15,000
Lenovo K3 Note;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 8,890 
HTC One E9s Dual Sim;5.5 inch Screen;13MP Camera;2GB RAM;2600mAh ;Rs. 9,000 
Micromax Bharat 1;2.4 inch Screen;2MP Camera;512MB RAM;1500mAh ;Rs. 1,199 
Intex Aqua Lions 3;5 inch Screen;8MP Camera;2GB RAM;4000mAh ;Rs. 6,380 
Samsung Galaxy S8 Plus (6GB/128GB);6.2 inch Screen;12MP Camera;6GB RAM;3500mAh ;Rs. 64,900
Vivo Xplay6;5.4 inch Screen;12MP Camera;6GB RAM;4080mAh ;Rs. 44,999
iVOOMi Me3S;5.2 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 5,999 
Xiaomi Mi MIX;6.4 inch Screen;16MP Camera;4GB RAM;4400mAh ;Rs. 59,950
Gionee Pioneer P5L;4.7 inch Screen;5MP Camera;1GB RAM;2300mAh ;Rs. 6,700 
Lenovo Vibe X3;5.5 inch Screen;21MP Camera;3GB RAM;3500mAh ;Rs. 19,999
Samsung Galaxy C7 (32GB);5.7 inch Screen;16MP Camera;4GB RAM;3300mAh ;Rs. 27,499
Micromax Canvas 1;5 inch Screen;8MP Camera;2GB RAM;2500mAh ;Rs. 6,499 
Coolpad Note 3 Plus;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 9,999 
Sony Xperia XZ Premium;5.5 inch Screen;19MP Camera;4GB RAM;3230mAh ;Rs. 55,950
Panasonic Eluga Note;5.5 inch Screen;16MP Camera;3GB RAM;3000mAh ;Rs. 11,299
Karbonn Aura Sleek 4G;5 inch Screen;5MP Camera;1GB RAM;4000mAh ;Rs. 4,699 
Panasonic Eluga I2 3GB RAM;5 inch Screen;8MP Camera;3GB RAM;2000mAh ;Rs. 6,450 
Lava A44;4 inch Screen;5MP Camera;1GB RAM;1500mAh ;Rs. 4,149 
Kodak Ektra;5 inch Screen;21MP Camera;3GB RAM;3000mAh ;Rs. 11,999
Swipe Elite 4G (2017);5 inch Screen;8MP Camera;1GB RAM;2500mAh ;Rs. 3,499 
Tenor G;5.5 inch Screen;13MP Camera;3GB RAM;4000mAh ;Rs. 10,999
Panasonic Eluga I3;5.5 inch Screen;13MP Camera;2GB RAM;2700mAh ;Rs. 7,500 
Lenovo Vibe X2-AP;5 inch Screen;13MP Camera;2GB RAM;2300mAh ;Rs. 9,999 
Micromax Canvas Nitro 4G E455;5 inch Screen;13MP Camera;2GB RAM;2500mAh ;Rs. 8,499 
