Name;Rating;Release
Looper;3.4;October 12, 2012;
Seven Psychopaths;2.7;October 12, 2012;
Here Comes the Boom;4.2;October 12, 2012;
Kings Point;3.0;October 12, 2012;
Karama Has No Walls;-;October 12, 2012;
The Possession;3.1;October 05, 2012;
Killing Them Softly;3.2;October 05, 2012;
Frankenweenie;3.3;October 05, 2012;
Butter;3.5;October 05, 2012;
The Paperboy;3.6;October 05, 2012;
Special Forces;3.3;September 14, 2012;
Tarbosaurus 3D;3.2;September 14, 2012;
Arbitrage;3.4;September 14, 2012;
Gone;3.0;September 14, 2012;
To Rome with Love;2.9;September 07, 2012;
Bachelorette;2.8;September 07, 2012;
Shark Night (3D);3.0;August 31, 2012;
Bel Ami;3.0;August 31, 2012;
The Campaign;3.1;August 31, 2012;
Hit and Run;2.7;August 31, 2012;
For a Good Time, Call...;2.8;August 31, 2012;
Sparkle;3.7;August 17, 2012;
ParaNorman;4.0;August 17, 2012;
The Bourne Legacy;3.2;August 10, 2012;
The Cold Light of Day;2.8;August 10, 2012;
Step Up: Revolution;3.9;August 03, 2012;
Total Recall;3.4;August 03, 2012;
Seeking a Friend for the End of the World;3.1;August 03, 2012;
Feral;2.3;August 03, 2012;
Ice Age: Continental Drift;3.8;July 27, 2012;
The Watch;3.7;July 27, 2012;
Killer Joe;3.5;July 27, 2012;
Savages;2.4;July 06, 2012;
The Amazing Spider-Man;3.8;June 29, 2012;
Beasts of the Southern Wild;2.9;June 27, 2012;
Brave;3.6;June 22, 2012;
Street Dance 2;3.3;June 22, 2012;
La Luna;4.3;June 22, 2012;
Piranha 3DD;3.3;June 15, 2012;
Rock of Ages;3.2;June 15, 2012;
Madagascar 3: Europe's Most Wanted;3.8;June 08, 2012;
Prometheus;3.3;June 08, 2012;
Safety Not Guaranteed;3.1;June 08, 2012;
Chernobyl Diaries;3.1;May 24, 2012;
Don't Be Afraid of the Dark;2.9;May 18, 2012;
Dr. Seuss' The Lorax;3.1;May 18, 2012;
What to Expect When You're Expecting;2.9;May 18, 2012;
The Best Exotic Marigold Hotel;2.7;May 18, 2012;
The Raven;2.5;May 18, 2012;
The Dictator;4.2;May 16, 2012;
Dark Shadows;3.4;May 11, 2012;
The Raid: Redemption;3.1;May 11, 2012;
Hugo;3.5;May 04, 2012;
The Lucky One;3.2;May 04, 2012;
That Wasn't Me;-;April 24, 2012;
21 Jump Street;3.6;April 20, 2012;
Mirror Mirror;2.8;April 20, 2012;
The Moth Diaries;3.3;April 20, 2012;
Battleship;3.6;April 13, 2012;
God Is the Bigger Elvis;-;April 12, 2012;
American Reunion;4.0;April 06, 2012;
Titanic 3D;3.8;April 05, 2012;
Wrath of the Titans;3.4;March 30, 2012;
The Hunger Games;3.5;March 23, 2012;
This Means War;3.2;March 16, 2012;
Extremely Loud & Incredibly Close;2.9;March 02, 2012;
The Devil Inside;3.2;March 02, 2012;
The Iron Lady;3.1;March 02, 2012;
Moneyball;3.5;February 24, 2012;
The Artist;3.5;February 24, 2012;
Carnage;3.1;February 24, 2012;
My Week with Marilyn;3.2;February 24, 2012;
Wanderlust;3.8;February 24, 2012;
Ghost Rider: Spirit of Vengeance;3.7;February 17, 2012;
Question Mark;3.2;February 17, 2012;
The Woman in Black;3.4;February 17, 2012;
War Horse;3.3;February 10, 2012;
LOL;2.7;February 10, 2012;
Journey 2: The Mysterious Island 3D;3.5;February 03, 2012;
Chronicle;3.8;February 03, 2012;
Love You To Death;3.1;February 03, 2012;
Man On A Ledge;2.0;February 03, 2012;
Redemption;2.8;February 03, 2012;
The Descendants;3.5;January 26, 2012;
Contraband;3.0;January 26, 2012;
Haywire;2.9;January 26, 2012;
Underworld 4: Awakening (3D);3.4;January 20, 2012;
Heartbreaker;2.7;January 13, 2012;
Joyful Noise;3.4;January 13, 2012;
The Darkest Hour;3.1;January 06, 2012;
Wild Life;2.8;January 06, 2012;
Tinker Tailor Soldier Spy;3.2;December 30, 2011;
Sherlock Holmes:  A Game of Shadows;3.8;December 29, 2011;
Alvin and the Chipmunks: Chip-Wrecked;3.5;December 23, 2011;
One Day;2.9;December 23, 2011;
We Bought a Zoo;3.2;December 23, 2011;
The Girl with the Dragon Tattoo;2.5;December 21, 2011;
Margin Call;3.5;December 20, 2011;
Dam999;3.3;November 25, 2011;
The Help;3.1;November 25, 2011;
Jack & Jill;3.0;November 25, 2011;
The Muppets;3.0;November 25, 2011;
The Twilight Saga: Breaking Dawn - Part 1;3.5;November 24, 2011;
Who's There?;3.1;November 18, 2011;
The Ides of March;2.7;November 18, 2011;
Happy Feet Two;3.2;November 18, 2011;
Tyrannosaur;3.5;November 18, 2011;
Immortals;3.5;November 11, 2011;
The Adventures of Tintin: The Secret of the Unicorn (3D);3.6;November 10, 2011;
Paranormal Activity 3;3.2;October 21, 2011;
The Whistleblower;3.5;October 21, 2011;
Last Night;3.1;October 21, 2011;
Super 8;3.3;October 14, 2011;
The Three Musketeers;3.1;October 14, 2011;
What's Your Number?;1.7;October 14, 2011;
Real Steel;3.8;October 07, 2011;
30 Minutes or Less;3.1;October 07, 2011;
Hell and Back Again;-;October 05, 2011;
Drive;3.3;September 30, 2011;
Johnny English Reborn;3.7;September 23, 2011;
Paradise Lost 3: Purgatory;-;September 11, 2011;
Friends with Benefits;3.4;September 09, 2011;
Contagion;3.2;September 09, 2011;
The Man in the Maze;3.2;September 02, 2011;
Albert Nobbs;-;September 02, 2011;
Conan the Barbarian;3.2;August 26, 2011;
Standby;3.2;August 26, 2011;
Bad Teacher;3.3;August 19, 2011;
Spy Kids 4: All the Time in the World;3.7;August 19, 2011;
Fright Night;3.2;August 19, 2011;
The Devil's Double;3.4;August 19, 2011;
Warning;3.0;August 05, 2011;
Garo the Movie: Red Requiem;3.2;August 05, 2011;
Bellflower;3.5;August 05, 2011;
Cowboys & Aliens;3.3;July 29, 2011;
The Smurfs (3D);3.6;July 29, 2011;
The Lion King 3D;4.0;July 29, 2011;
The Tree Of Life;3.6;July 29, 2011;
Harry Potter And The Deathly Hallows: Part 2;3.9;July 15, 2011;
Larry Crowne;2.8;July 08, 2011;
Transformers: Dark of the Moon;3.9;June 29, 2011;
Cars 2;3.8;June 24, 2011;
X-Men: First Class;3.9;June 10, 2011;
West is West;3.3;June 10, 2011;
A Morning Stroll;-;June 10, 2011;
Hanna;3.2;June 03, 2011;
Beginners;-;June 03, 2011;
Kung Fu Panda 2;4.0;May 27, 2011;
The Hangover 2;3.5;May 27, 2011;
Something Borrowed;3.2;May 27, 2011;
Pirates of the Caribbean: On Stranger Tides;3.6;May 20, 2011;
Priest (3D);3.5;May 13, 2011;
Arthur;3.0;May 13, 2011;
Water for Elephants;3.5;May 06, 2011;
Thor;3.8;April 29, 2011;
Source Code;3.9;April 29, 2011;
Limitless;3.5;April 29, 2011;
Queens! Destiny of Dance;3.4;April 29, 2011;
The Roommate;3.1;April 22, 2011;
Yogi Bear 3D;3.4;April 22, 2011;
Scream 4;3.4;April 15, 2011;
Unknown;3.5;April 15, 2011;
Splice;3.4;April 13, 2011;
Rio 3D;3.7;April 08, 2011;
Barney's Version;3.2;March 25, 2011;
Ong Bak 3;3.6;March 18, 2011;
Red Riding Hood;3.3;March 18, 2011;
The Hole 3D;3.6;March 18, 2011;
From Prada To Nada;3.4;March 18, 2011;
A Separation;-;March 16, 2011;
Undefeated;-;March 13, 2011;
World Invasion: Battle Los Angeles;3.5;March 11, 2011;
Hereafter;3.4;March 11, 2011;
Jane Eyre;3.5;March 11, 2011;
Black Swan;3.6;March 04, 2011;
True Grit;3.5;February 25, 2011;
Rabbit Hole;3.4;February 18, 2011;
I Am Number Four;3.2;February 18, 2011;
How Do You Know;3.2;February 18, 2011;
Gnomeo & Juliet;3.2;February 18, 2011;
The Nutcracker;2.2;February 18, 2011;
Pina;-;February 13, 2011;
No Strings Attached;3.4;February 11, 2011;
The Mechanic;3.2;February 11, 2011;
The Rite;3.3;February 11, 2011;
Dimanche;-;February 05, 2011;
Burlesque;2.5;January 28, 2011;
127 Hours;3.7;January 26, 2011;
Tangled;3.9;January 21, 2011;
Season of the Witch;2.9;January 21, 2011;
Little Fockers;2.4;January 21, 2011;
Another Year;2.7;January 21, 2011;
The Green Hornet (3D);3.0;January 14, 2011;
Paranormal Activity 2;2.9;January 07, 2011;
Life As We Know It;2.9;January 07, 2011;
Fair Game;3.0;January 07, 2011;
Gulliver's Travels;3.3;December 31, 2010;
A Cat in Paris;4.0;December 15, 2010;
Faster;3.2;December 10, 2010;
The Warrior's Way;3.0;December 10, 2010;
The Chronicles of Narnia: The Voyage of the Dawn Treader;3.4;December 03, 2010;
Unstoppable;3.4;November 26, 2010;
Spanish Beauty / A Beautiful Wife;3.2;November 26, 2010;
Red;3.1;November 26, 2010;
Secretariat;3.1;November 26, 2010;
Harry Potter And The Deathly Hallows: Part 1;3.5;November 19, 2010;
Chico and Rita;5.0;November 19, 2010;
The Social Network;3.5;November 12, 2010;
Legend of the Guardians: The Owls of Ga'Hoole;2.9;October 29, 2010;
From Paris With Love;2.7;October 29, 2010;
Letters to Juliet;2.9;October 22, 2010;
The Other Guys;2.9;October 22, 2010;
The Switch;3.0;October 15, 2010;
Eat Pray Love;2.7;October 08, 2010;
The Town;3.5;October 08, 2010;
The American;2.9;October 08, 2010;
Going the Distance;3.0;October 01, 2010;
Beauty and the Beast 3D;3.1;September 24, 2010;
Wall Street: Money Never Sleeps;3.2;September 24, 2010;
Vertigo;3.3;August 27, 2010;
Geng: The Adventure Begins;3.1;August 27, 2010;
Hot Tub Time Machine;2.8;August 20, 2010;
Cats & Dogs: The Revenge of Kitty Galore;3.1;August 20, 2010;
The Expendables;3.3;August 13, 2010;
Grown Ups;2.9;August 13, 2010;
Dinner for Schmucks;2.8;August 13, 2010;
Predators;3.1;August 06, 2010;
Despicable Me;3.9;August 06, 2010;
The Twilight Saga: Eclipse;3.7;July 30, 2010;
The Kids Are All Right;-;July 30, 2010;
A Single Man;3.6;July 09, 2010;
The Losers;2.8;July 02, 2010;
The Storm Warriors;2.8;July 02, 2010;
The A Team;3.7;June 25, 2010;
Toy Story 3;3.6;June 25, 2010;
Edge of Darkness;3.2;June 25, 2010;
Spread;2.1;June 18, 2010;
The Karate Kid;3.4;June 11, 2010;
Winter's Bone;-;June 11, 2010;
A Nightmare on Elm Street;3.3;June 04, 2010;
Killers;3.1;June 04, 2010;
Sex And The City 2;3.1;May 21, 2010;
Shrek Forever After;3.5;May 21, 2010;
Robin Hood;3.3;May 14, 2010;
Remember Me;3.6;May 14, 2010;
The Back Up Plan;3.2;May 14, 2010;
Iron Man 2;3.6;May 07, 2010;
The Last Song;3.1;May 07, 2010;
It's a Wonderful Afterlife;2.5;May 07, 2010;
Astro Boy;4.0;April 30, 2010;
Fly Me to The Moon;3.5;April 30, 2010;
The Bounty Hunter;2.6;April 23, 2010;
Up In the Air;3.1;February 19, 2010;
Click;3.1;February 19, 2010;
Valentine's Day;3.6;February 12, 2010;
An Education;-;February 05, 2010;
The Book of Eli;3.9;January 15, 2010;
The Spy Next Door;3.8;January 15, 2010;
Paranormal Activity;3.6;January 08, 2010;
Sherlock Holmes;3.9;January 08, 2010;
The Last Station;4.3;December 23, 2009;
Avatar;3.4;December 18, 2009;
Nine;3.0;December 18, 2009;
2012;3.6;November 13, 2009;
The Messenger;-;November 13, 2009;
Precious;1.5;November 06, 2009;
A Serious Man;3.5;October 02, 2009;
G.I. Joe: The Rise of Cobra;3.8;August 21, 2009;
Inglourious Basterds;3.6;August 21, 2009;
District 9;3.5;August 14, 2009;
Public Enemies;3.5;August 07, 2009;
Julie & Julia;-;August 07, 2009;
Night at the Museum: Battle of the Smithsonian;3.4;July 24, 2009;
The Ugly Truth;4.0;July 24, 2009;
Proposal;3.4;June 19, 2009;
The Proposal;3.3;June 19, 2009;
Angels & Demons;3.4;May 29, 2009;
Up;3.3;May 29, 2009;
Mary and Max;-;April 09, 2009;
The Pink Panther 2;3.9;February 06, 2009;
The Wrestler;3.9;January 30, 2009;
Slumdog Millionaire;3.6;January 23, 2009;
The Reader;3.5;January 09, 2009;
Valkyrie;3.4;December 25, 2008;
The Curious Case of Benjamin Button;3.7;December 25, 2008;
You Don't Mess with the Zohan;3.8;September 19, 2008;
What Happens in Vegas;3.3;September 05, 2008;
Goal II: Living the Dream;4.5;August 29, 2008;
Death Race;4.0;August 22, 2008;
Wall-E;4.2;August 20, 2008;
Wanted (2008);4.2;July 25, 2008;
The Dark Knight;4.6;July 18, 2008;
Hancock;3.9;July 11, 2008;
The Incredible Hulk;3.8;June 20, 2008;
In Bruges;3.4;June 20, 2008;
Kung fu Panda;4.0;June 06, 2008;
Forgetting Sarah Marshall;3.0;April 18, 2008;
Never Back Down;4.0;March 14, 2008;
10,000 B.C.;3.7;March 07, 2008;
Jumper;3.2;February 14, 2008;
Rambo;4.1;January 25, 2008;
National Treasure: Book of Secrets;3.7;January 11, 2008;
There Will Be Blood;4.0;December 26, 2007;
Juno;4.1;December 25, 2007;
I am Legend;4.1;December 14, 2007;
No Country for Old Men;2.9;November 21, 2007;
Ratatouille;4.0;August 24, 2007;
Pirates of the Caribbean: At World's End;4.4;June 01, 2007;
Shrek the Third;3.8;June 01, 2007;
Spiderman 3;3.8;May 04, 2007;
Ghost Rider;4.0;February 16, 2007;
Hannibal Rising;2.8;February 09, 2007;
Night at the Museum;3.8;December 29, 2006;
Babel;3.4;December 29, 2006;
We Are Marshall;4.0;December 22, 2006;
Blood Diamond;3.6;December 08, 2006;
Happy Feet;3.5;November 17, 2006;
The Prestige;4.5;October 20, 2006;
Shadow Man;3.6;June 06, 2006;
The Da Vinci Code;4.1;May 26, 2006;
Offside;4.0;May 26, 2006;
Goal The Dream Begins;3.8;May 12, 2006;
Ice Age: The Meltdown;4.0;April 21, 2006;
Munich;3.1;January 06, 2006;
King Kong;3.4;December 16, 2005;
Harry Potter and the Goblet of Fire;4.1;November 18, 2005;
Flightplan;3.7;September 23, 2005;
Transporter 2;3.9;September 02, 2005;
Wedding Crashers;2.8;July 15, 2005;
Hitch;3.2;February 11, 2005;
Million Dollar Baby;4.5;January 28, 2005;
Coach Carter;3.8;January 14, 2005;
Hotel Rwanda;0.5;December 22, 2004;
The Princess Diaries 2: Royal Engagement;2.6;December 03, 2004;
Howl's Moving Castle;4.0;November 20, 2004;
The Incredibles;3.7;November 05, 2004;
Saw;4.0;October 29, 2004;
The Grudge;3.4;October 22, 2004;
Shrek 2;3.8;August 20, 2004;
I, Robot;3.6;August 13, 2004;
Eternal Sunshine of the Spotless Mind;4.0;March 19, 2004;
The Lord of the Rings: The Return of the King;4.0;February 06, 2004;
Miracle;2.5;February 06, 2004;
Torque;3.9;January 16, 2004;
Matrix: The Revolution;3.2;November 05, 2003;
Saw 3;3.6;October 27, 2003;
Kill Bill: Vol. 1;3.9;October 10, 2003;
Pirates of the Caribbean: The Curse of the Black Pearl;4.4;August 15, 2003;
Wrong Turn;3.5;May 30, 2003;
Bruce Almighty;3.9;May 23, 2003;
Matrix: Reloaded;3.4;May 15, 2003;
Die another Day;4.0;December 02, 2002;
Transporter;4.5;October 11, 2002;
City of God;-;August 30, 2002;
XXX;3.3;August 09, 2002;
Men in Black 2;3.9;August 02, 2002;
My Big Fat Greek Wedding;2.9;August 02, 2002;
Stuart Little 2;2.8;July 19, 2002;
Bend it like Beckham;3.5;July 02, 2002;
The Bourne Identity;3.9;June 14, 2002;
Spiderman;4.3;May 24, 2002;
Insomnia;-;May 24, 2002;
Black Hawk Down;0.5;December 28, 2001;
Ali (2001);4.2;December 25, 2001;
The Princess Diaries;4.3;August 03, 2001;
Spirited Away;3.3;July 20, 2001;
Jurassic Park 3;4.1;July 18, 2001;
Scary Movie 2;2.9;July 04, 2001;
Shaolin Soccer;3.3;July 01, 2001;
Fast & Furious;4.3;June 22, 2001;
Pearl Harbor;3.5;May 25, 2001;
Shrek;4.0;May 18, 2001;
What Women Want;3.2;May 18, 2001;
Memento;3.7;October 11, 2000;
Mission Impossible 2;3.9;September 29, 2000;
The Replacements;4.0;August 11, 2000;
Gone in Sixty Seconds;4.0;June 09, 2000;
Shanghai Noon;3.8;May 26, 2000;
Gladiator;5.0;May 05, 2000;
Erin Brokovitch;3.3;March 17, 2000;
American Psycho;2.5;January 21, 2000;
Magnolia;2.9;January 07, 2000;
Any Given Sunday;4.3;December 22, 1999;
Jumanji;4.1;December 15, 1999;
Runaway Bride;3.0;July 30, 1999;
Wild Wild West;3.5;June 30, 1999;
Tarzan;4.0;June 18, 1999;
Notting Hill;3.8;May 28, 1999;
The Mummy;3.3;May 07, 1999;
The Matrix;3.7;March 31, 1999;
Shakespeare in Love;3.2;January 08, 1999;
You've Got Mail;3.7;December 18, 1998;
American History X;3.3;October 30, 1998;
Lock, Stock, and Two Smoking Barrels;4.8;August 28, 1998;
There's Something About Mary;3.1;July 15, 1998;
Titanic;4.2;December 19, 1997;
Home Alone 3;4.2;December 12, 1997;
L.A. Confidential;4.3;September 19, 1997;
Princess Mononoke;3.8;July 12, 1997;
Batman And Robin;3.1;June 20, 1997;
My Best Friend's Wedding;4.1;June 20, 1997;
The Lost World: Jurassic Park;3.1;May 23, 1997;
Anaconda;3.6;April 11, 1997;
Speed 2: Cruise Control;3.5;January 13, 1997;
Scream;4.0;December 20, 1996;
Independence Day;3.9;July 02, 1996;
Casino;3.5;November 22, 1995;
GoldenEye;3.6;November 17, 1995;
Se7en;4.8;September 22, 1995;
The Usual Suspects;3.2;August 16, 1995;
Braveheart;2.3;May 24, 1995;
The Professional;3.3;November 18, 1994;
Pulp Fiction;4.0;October 14, 1994;
The Shawshank Redemption;4.3;September 23, 1994;
True Lies;4.2;July 15, 1994;
Forrest Gump;3.9;July 06, 1994;
Baby's Day Out;3.8;July 01, 1994;
Jurassic Park;3.6;June 11, 1993;
Aladdin;3.8;November 25, 1992;
Home Alone 2: Lost in New York;4.6;November 20, 1992;
Universal Soldiers;3.6;July 10, 1992;
Batman Returns;3.2;June 19, 1992;
Basic Instinct;3.7;March 20, 1992;
A League of Their Own;3.5;July 01, 1991;
The Silence of the Lambs;2.9;February 13, 1991;
Home Alone;4.1;November 16, 1990;
Goodfellas;3.9;September 19, 1990;
Flatliners (1990);3.5;August 10, 1990;
Bull Durham;2.3;June 15, 1988;
Grave of the Fireflies;4.2;April 16, 1988;
Empire of the Sun;1.7;December 11, 1987;
The Princess Bride;4.3;September 25, 1987;
Hoosiers;3.5;February 27, 1987;
Platoon;3.9;December 24, 1986;
Laputa: Castle in the Sky;4.0;August 02, 1986;
Aliens;3.1;July 18, 1986;
The Terminator;2.1;October 26, 1984;
Once Upon a Time in America;-;June 01, 1984;
Star Wars: Episode VI â€“ Return of the Jedi;3.6;May 25, 1983;
Escape to victory;3.8;July 31, 1981;
Raging Bull;3.3;December 19, 1980;
The Shining;-;May 23, 1980;
Star Wars: Episode V - The Empire Strikes Back;3.3;May 21, 1980;
Apocalypse Now;3.1;August 15, 1979;
Alien;3.5;May 25, 1979;
Grease;3.8;June 16, 1978;
Star Wars: Episode IV - A New Hope;3.6;May 25, 1977;
Annie Hall;3.7;April 20, 1977;
Taxi Driver (1976);3.8;February 08, 1976;
One Flew Over the Cuckoo's Nest;3.9;November 19, 1975;
Enter the Dragon;4.8;August 26, 1973;
Sleuth;3.8;December 10, 1972;
The Godfather;4.6;March 24, 1972;
Once Upon a Time in the West;3.3;December 21, 1968;
Rosemary's Baby;2.3;June 12, 1968;
The Good, The Bad and The Ugly;3.7;December 29, 1967;
Persona;-;October 18, 1966;
The Sound of Music;3.5;March 29, 1965;
The Hustler;2.5;September 25, 1961;
Psycho;3.9;August 25, 1960;
Ben-Hur;3.7;December 10, 1959;
Rear Window;-;September 01, 1954;
The Best Years of Our Lives;2.9;October 03, 1947;
It's a Wonderful Life;3.8;January 07, 1947;
Double Indemnity;4.0;April 24, 1944;
Casablanca;3.6;January 23, 1943;
Citizen Kane;-;September 05, 1941;
Modern Times;-;February 05, 1936;
City lights;-;January 30, 1931;
Sunrise: A Song of Two Humans;2.9;November 04, 1927;
The General;-;February 05, 1927;
The Gold Rush;3.7;June 26, 1925;
The Foreigner;2.4;October 13, 2017;
Blade Runner 2049;2.5;October 06, 2017;
The Lego Ninjago Movie;2.4;October 06, 2017;
American Made;2.5;September 29, 2017;
Kingsman: The Golden Circle;2.7;September 21, 2017;
American Assassin;2.4;September 15, 2017;
IT;3.0;September 07, 2017;
The Hitman's Bodyguard;3.0;August 25, 2017;
Terminator 2: Judgment Day 3D;3.3;August 25, 2017;
The Dark Tower;2.6;August 25, 2017;
Logan Lucky;2.4;August 25, 2017;
